Activation,Padding,DropOut,Balanceo,Optimizador,FiltroCNN,FiltrosCapa,Pooling,CapasPM,ValLoss,TrainLoss,ValAcc,TrainAcc
relu,Falso,Drop0,Verdadero,adam,"(3, 3)","[32, 16]","(2, 2)",2Capas,0.07439439783064522,0.0001658001513813372,0.9745347499847411,1.0
relu,Falso,Drop0,Verdadero,adam,"(3, 3)","[32, 16]","(2, 2)",3Capas,0.05843427483914612,0.0039349610400261775,0.9843291044235228,0.9997549653053284
relu,Falso,Drop0,Verdadero,adam,"(3, 3)","[32, 16]","(3, 3)",2Capas,0.4392857807273379,0.016955430938227156,0.9157688617706298,0.9992648959159853
relu,Falso,Drop0,Verdadero,adam,"(3, 3)","[32, 16]","(3, 3)",3Capas,0.48347611910682703,0.053064447205081945,0.9079334139823912,0.9899534583091738
relu,Falso,Drop0,Verdadero,adam,"(3, 3)",[32],"(2, 2)",2Capas,0.2460339771297256,0.008084030600014324,0.9412341117858887,0.9992648959159853
relu,Falso,Drop0,Verdadero,adam,"(3, 3)",[32],"(2, 2)",3Capas,0.21267304873781737,0.0062923056117094416,0.9441723823547363,0.9990198612213135
relu,Falso,Drop0,Verdadero,adam,"(3, 3)",[32],"(3, 3)",2Capas,0.2277302924510781,0.001750688311640247,0.9490695595741273,1.0
relu,Falso,Drop0,Verdadero,adam,"(3, 3)",[32],"(3, 3)",3Capas,0.17810297073626727,0.004472688753898393,0.9480901360511779,0.9990198612213135
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)","[32, 16]","(2, 2)",2Capas,0.29803310995821153,0.0006140280741082513,0.9255631566047667,1.0
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)","[32, 16]","(2, 2)",3Capas,0.26308940996093916,0.005891640223735016,0.932419180870056,0.9990198612213135
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)","[32, 16]","(3, 3)",2Capas,0.8273572213035606,0.35529571644919844,0.7933398485183715,0.9360451102256776
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)","[32, 16]","(3, 3)",3Capas,0.7260564335646522,0.21924768041758172,0.8442703485488892,0.9585886001586914
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)",[32],"(2, 2)",2Capas,0.18326116097866607,0.000188647073776738,0.963761031627655,1.0
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)",[32],"(2, 2)",3Capas,0.24775906655860808,0.007778868350982883,0.9480901360511779,0.9990198612213135
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)",[32],"(3, 3)",2Capas,0.32570096691313266,0.004716307971730584,0.9285014867782592,0.9997549653053284
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)",[32],"(3, 3)",3Capas,0.32666089646262825,0.0022067047630593495,0.92164546251297,1.0
relu,Falso,Drop0,Verdadero,adamax,"(3, 3)","[32, 16]","(2, 2)",2Capas,0.15028893462328438,0.0012067193246435824,0.9647404551506041,1.0
relu,Falso,Drop0,Verdadero,adamax,"(3, 3)","[32, 16]","(2, 2)",3Capas,0.14853458990863763,0.0008286822242897937,0.9627816081047058,1.0
relu,Falso,Drop0,Verdadero,adamax,"(3, 3)","[32, 16]","(3, 3)",2Capas,0.6818993733748867,0.1941696826082852,0.832517147064209,0.9654496312141417
