Activation,Padding,DropOut,Balanceo,Optimizador,FiltroCNN,FiltrosCapa,Pooling,CapasPM,ValLoss,TrainLoss,ValAcc,TrainAcc
relu,Falso,Drop0.25,Falso,adam,"(3, 3)","[32, 16]","(3, 3)",2Capas,1.4974837981018363,1.2429954117419673,0.5490196347236633,0.5698529481887816
relu,Falso,Drop0.25,Falso,adam,"(3, 3)","[32, 16]","(3, 3)",3Capas,1.4421775668275123,1.3656828169729196,0.5441176295280457,0.5453431606292725
relu,Falso,Drop0.25,Falso,adam,"(3, 3)",[32],"(2, 2)",2Capas,2.2952607799978817,1.9894848267237344,0.21078431606292725,0.29901960492134094
relu,Falso,Drop0.25,Falso,adam,"(3, 3)",[32],"(2, 2)",3Capas,2.2616337981878543,1.996935606002808,0.2352941185235977,0.2855392098426819
relu,Falso,Drop0.25,Falso,adam,"(3, 3)",[32],"(3, 3)",2Capas,2.08511668326808,1.3927247898251403,0.30392158031463623,0.481617659330368
relu,Falso,Drop0.25,Falso,adam,"(3, 3)",[32],"(3, 3)",3Capas,2.0148731680477368,1.711369145150278,0.3137255012989044,0.40441176295280457
relu,Falso,Drop0.25,Falso,adamax,"(2, 2)","[32, 16]","(2, 2)",2Capas,2.0607334562376436,1.443910839510899,0.3137255012989044,0.5098039507865906
relu,Falso,Drop0.25,Falso,adamax,"(2, 2)","[32, 16]","(2, 2)",3Capas,2.002662226265552,1.2520117046786288,0.3382352888584137,0.5674019455909729
relu,Falso,Drop0.25,Falso,adamax,"(2, 2)","[32, 16]","(3, 3)",2Capas,1.7807820731518316,1.5042137071198107,0.42647057771682734,0.4779411852359772
relu,Falso,Drop0.25,Falso,adamax,"(2, 2)","[32, 16]","(3, 3)",3Capas,1.686939524669273,1.4050009344138352,0.44117647409439087,0.4975490272045136
relu,Falso,Drop0.25,Falso,adamax,"(2, 2)",[32],"(2, 2)",2Capas,2.29458971117057,2.1972076799355302,0.19117647409439087,0.21691176295280457
relu,Falso,Drop0.25,Falso,adamax,"(2, 2)",[32],"(2, 2)",3Capas,2.2669593820384906,2.206297332165288,0.19117647409439087,0.20098039507865903
